model,source,domain_group,status,business_ready,contract_ok,boundary_ok,structure_ok,create_allowed,write_allowed,structure_field_count,layout_field_count,editable_business_field_count,required_business_field_count,missing_required_fields,relation_field_count,relation_missing_metadata,x2many_field_count,attachment_enabled,timeline_enabled,identity_signal,state_signal,amount_signal,project_signal,partner_signal,gaps,gap_owner_layer,remediation_rule
construction.contract,form_view,contract,ok,true,true,true,true,false,false,53,55,34,6,,12,,1,true,true,true,true,true,true,true,,,
construction.contract.expense,menu_action,contract,ok,true,true,true,true,false,false,41,43,1,1,,13,,1,true,true,true,true,true,true,true,,,
construction.contract.income,menu_action,contract,ok,true,true,true,true,false,false,41,43,0,1,contract_id,7,,1,true,true,true,true,true,true,true,,,
construction.work.breakdown,form_view,contract,ok,true,true,true,true,false,false,12,12,8,3,,7,,3,true,true,true,false,true,true,false,,,
sc.equipment.plan,menu_action,equipment,ok,true,true,true,true,false,false,11,11,11,3,,4,,1,true,true,true,true,true,true,true,,,
sc.equipment.price,form_view,equipment,ok,true,true,true,true,false,false,12,12,12,6,,3,,0,true,true,true,true,true,true,true,,,
sc.equipment.request,menu_action,equipment,ok,true,true,true,true,false,false,11,11,11,3,,5,,1,true,true,true,true,true,true,true,,,
sc.equipment.settlement,menu_action,equipment,ok,true,true,true,true,false,false,12,12,9,5,,5,,1,true,true,true,true,true,true,true,,,
sc.equipment.usage,menu_action,equipment,ok,true,true,true,true,false,false,14,14,14,8,,4,,0,true,true,true,true,true,true,true,,,
payment.ledger,form_view,finance,ok,true,true,true,true,false,false,9,9,5,3,,4,,0,true,true,true,true,true,true,true,,,
payment.request,menu_action,finance,ok,true,true,true,true,false,false,30,32,15,6,,9,,4,true,true,true,true,true,true,true,,,
payment.request.line,form_view,finance,ok,true,true,true,true,false,false,14,14,12,4,legacy_line_id;legacy_parent_id,4,,0,true,true,true,false,true,true,true,,,
sc.financing.loan,menu_action,finance,ok,true,true,true,true,false,false,20,22,17,8,source_origin,4,,1,true,true,true,true,true,true,true,,,
sc.fund.account,form_view,finance,ok,true,true,true,true,false,false,21,21,12,4,,3,,0,true,true,true,true,true,true,false,,,
sc.fund.account.operation,menu_action,finance,ok,true,true,true,true,false,false,23,23,20,7,,7,,1,true,true,true,true,true,true,false,,,
sc.invoice.registration,menu_action,finance,ok,true,true,true,true,false,false,30,32,27,7,source_origin,6,,1,true,true,true,true,true,true,true,,,
sc.receipt.income,menu_action,finance,ok,true,true,true,true,false,false,28,30,25,7,source_origin;source_kind,7,,1,true,true,true,true,true,true,true,,,
sc.receipt.invoice.line,form_view,finance,ok,true,true,true,true,false,false,14,14,10,4,legacy_invoice_line_id;legacy_receipt_id,4,,0,true,true,true,false,true,true,true,,,
sc.tax.deduction.registration,menu_action,finance,ok,true,true,true,true,false,false,20,20,19,5,source_origin,3,,0,true,true,true,true,true,true,true,,,
sc.labor.plan,menu_action,labor,ok,true,true,true,true,false,false,10,10,10,3,,4,,1,true,true,true,true,true,true,false,,,
sc.labor.price,form_view,labor,ok,true,true,true,true,false,false,12,12,12,6,,3,,0,true,true,true,true,true,true,false,,,
sc.labor.request,menu_action,labor,ok,true,true,true,true,false,false,9,9,9,3,,4,,1,true,true,true,true,true,true,false,,,
sc.labor.settlement,menu_action,labor,ok,true,true,true,true,false,false,12,12,9,5,,5,,1,true,true,true,true,true,true,false,,,
sc.labor.usage,form_view,labor,ok,true,true,true,true,false,false,12,12,12,6,,3,,0,true,true,true,true,true,true,false,,,
sc.material.acceptance,form_view,material,ok,true,true,true,true,false,false,21,21,18,2,,9,,2,true,true,true,true,true,true,true,,,
sc.material.catalog,form_view,material,ok,true,true,true,true,false,false,13,13,13,3,source_origin,4,,1,true,true,true,false,true,true,false,,,
sc.material.inbound,form_view,material,ok,true,true,true,true,false,false,17,17,11,4,,8,,1,true,true,true,true,true,true,true,,,
sc.material.outbound,form_view,material,ok,true,true,true,true,false,false,16,16,12,4,,8,,1,true,true,true,true,true,true,false,,,
sc.material.price,form_view,material,ok,true,true,true,true,false,false,16,16,13,4,,5,,0,true,true,true,true,true,true,true,,,
sc.material.purchase.request,form_view,material,ok,true,true,true,true,false,false,13,13,10,2,,4,,1,true,true,true,true,true,true,false,,,
sc.material.rental.order,form_view,material,ok,true,true,true,true,false,false,13,13,12,6,,7,,1,true,true,true,true,true,true,true,,,
sc.material.rental.plan,form_view,material,ok,true,true,true,true,false,false,14,14,13,5,,6,,1,true,true,true,true,true,true,true,,,
sc.material.rental.settlement,form_view,material,ok,true,true,true,true,false,false,15,15,12,6,,8,,1,true,true,true,true,true,true,true,,,
sc.material.rfq,form_view,material,ok,true,true,true,true,false,false,17,17,13,2,,7,,2,true,true,true,true,true,true,true,,,
sc.material.settlement,form_view,material,ok,true,true,true,true,false,false,16,16,10,4,,6,,1,true,true,true,true,true,true,true,,,
project.boq.line,form_view,project,ok,true,true,true,true,false,false,32,32,25,4,,7,,1,true,true,true,false,true,true,false,,,
project.budget,form_view,project,ok,true,true,true,true,false,false,14,14,14,3,,2,,1,true,true,true,true,true,true,false,,,
project.budget.cost.alloc,form_view,project,ok,true,true,true,true,false,false,6,6,5,2,,3,,0,true,true,true,false,true,true,false,,,
project.cost.code,form_view,project,ok,true,true,true,true,false,false,6,6,5,3,,1,,0,true,true,true,false,true,false,false,,,
project.cost.ledger,form_view,project,ok,true,true,true,true,false,false,10,10,10,3,period_id,5,,0,true,true,true,true,true,true,true,,,
project.dictionary,form_view,project,ok,true,true,true,true,false,false,12,12,12,2,type,2,,0,true,true,true,false,true,false,false,,,
project.funding.baseline,form_view,project,ok,true,true,true,true,false,false,5,5,4,3,,3,,1,true,true,true,true,true,true,false,,,
project.material.plan,menu_action,project,ok,true,true,true,true,false,false,10,12,5,1,,5,,2,true,true,true,true,true,true,false,,,
project.milestone,form_view,project,ok,true,true,true,true,false,false,4,4,4,2,,1,,0,true,true,true,true,true,true,false,,,
project.profit.compare,form_view,project,ok,true,true,true,true,false,false,10,10,0,0,,3,,0,true,true,true,false,true,true,false,,,
project.progress.entry,form_view,project,ok,true,true,true,true,false,false,8,8,8,3,,3,,1,true,true,true,true,true,true,false,,,
project.project,menu_action,project,ok,true,true,true,true,false,false,15,15,12,7,alias_id;privacy_visibility;rating_status;rating_status_period;stage_id;operation_strategy,7,,3,true,true,true,true,true,true,true,,,
project.project.stage,form_view,project,ok,true,true,true,true,false,false,5,5,5,1,,3,,0,true,true,true,false,false,false,false,,,
project.tags,menu_action,project,ok,true,true,true,true,false,false,1,1,1,1,,0,,0,true,true,true,false,false,false,false,,,
project.task,menu_action,project,ok,true,true,true,true,false,false,8,8,7,2,,3,,1,true,true,true,true,true,true,false,,,
project.task.type,form_view,project,ok,true,true,true,true,false,false,6,6,5,1,,4,,1,true,true,true,false,false,false,false,,,
project.update,form_view,project,ok,true,true,true,true,false,false,7,7,7,4,,2,,0,true,true,true,true,true,true,false,,,
sc.quality.issue,form_view,quality,ok,true,true,true,true,false,false,26,26,24,2,,9,,3,true,true,true,true,true,true,false,,,
sc.quality.recheck,form_view,quality,ok,true,true,true,true,false,false,12,12,8,2,,6,,2,true,true,true,true,true,true,false,,,
sc.quality.rectification,form_view,quality,ok,true,true,true,true,false,false,12,12,7,2,,6,,2,true,true,true,true,true,true,false,,,
sc.safety.disclosure,form_view,safety,ok,true,true,true,true,false,false,11,11,11,2,,5,,2,true,true,true,true,true,true,false,,,
sc.safety.issue,form_view,safety,ok,true,true,true,true,false,false,22,22,20,2,,7,,3,true,true,true,true,true,true,false,,,
sc.safety.patrol.task,form_view,safety,ok,true,true,true,true,false,false,11,11,11,2,,4,,1,true,true,true,true,true,true,false,,,
sc.safety.plan,form_view,safety,ok,true,true,true,true,false,false,10,10,10,3,,4,,2,true,true,true,true,true,true,false,,,
sc.safety.recheck,form_view,safety,ok,true,true,true,true,false,false,12,12,8,2,,6,,2,true,true,true,true,true,true,false,,,
sc.safety.rectification,form_view,safety,ok,true,true,true,true,false,false,12,12,7,2,,6,,2,true,true,true,true,true,true,false,,,
sc.payment.execution,menu_action,sc_other,ok,true,true,true,true,false,false,28,30,25,6,source_origin,6,,1,true,true,true,true,true,true,true,,,
sc.subcontract.plan,menu_action,subcontract,ok,true,true,true,true,false,false,14,14,13,5,,6,,1,true,true,true,true,true,true,false,,,
sc.subcontract.price,form_view,subcontract,ok,true,true,true,true,false,false,12,12,12,6,,3,,0,true,true,true,true,true,true,false,,,
sc.subcontract.register,menu_action,subcontract,ok,true,true,true,true,false,false,16,16,15,5,,7,,1,true,true,true,true,true,true,false,,,
sc.subcontract.request,menu_action,subcontract,ok,true,true,true,true,false,false,18,18,17,6,,8,,1,true,true,true,true,true,true,false,,,
sc.subcontract.settlement,menu_action,subcontract,ok,true,true,true,true,false,false,14,14,11,5,,7,,1,true,true,true,true,true,true,false,,,
tender.bid,form_view,tender,ok,true,true,true,true,false,false,26,26,20,3,,11,,7,true,true,true,true,true,true,false,,,
tender.doc.purchase,form_view,tender,ok,true,true,true,true,false,false,15,15,13,1,,5,,1,true,true,true,true,true,true,false,,,
tender.guarantee,form_view,tender,ok,true,true,true,true,false,false,11,11,9,2,,6,,1,true,true,true,true,true,true,false,,,
tender.opening,form_view,tender,ok,true,true,true,true,false,false,9,9,7,1,,5,,2,true,true,true,true,true,true,false,,,
