entry_id,entry_name,domain,selected_model,status,missing_sections,missing_fields,gaps
DBS-019,投标报名管理,投标,tender.bid,ready,,,
DBS-020,投标报名费申请,投标/付款,tender.bid,ready,,,
DBS-021,承包人借项目款,借款,sc.financing.loan,ready,,,
DBS-022,承包人还项目款,还款,sc.financing.loan,ready,,,
DBS-023,支付申请,付款,payment.request,ready,,,
DBS-024,扣款单,扣款,sc.tax.deduction.registration,ready,,,
DBS-025,往来单位付款,付款,sc.payment.execution,ready,,,
DBS-026,账户间资金往来,资金账户,sc.fund.account.operation,ready,,,
DBS-027,扣款实缴登记,扣款,sc.tax.deduction.registration,ready,,,
DBS-028,扣款实缴退回,扣款,sc.tax.deduction.registration,ready,,,
DBS-029,到款确认表,收款,sc.receipt.income,ready,,,
DBS-030,资金日报表,资金报表,sc.legacy.fund.daily.snapshot.fact,ready,,,
DBS-031,项目借公司款登记,借款,sc.financing.loan,ready,,,
DBS-032,项目还公司款登记,还款,sc.financing.loan,ready,,,
DBS-033,开票申请,发票税务,sc.invoice.registration,ready,,,
DBS-034,开票登记,发票税务,sc.invoice.registration,ready,,,
DBS-035,预缴税款,发票税务,sc.tax.deduction.registration,ready,,,
DBS-036,抵扣登记,发票税务,sc.tax.deduction.registration,ready,,,
DBS-037,账户,资金账户基础,sc.fund.account,ready,,,
DBS-038,进项上报,进项税务,sc.tax.deduction.registration,ready,,,
DBS-039,供货合同,材料合同,sc.material.purchase.request,ready,,,
DBS-040,入库,材料入库,sc.material.inbound,ready,,,
DBS-041,材料结算单,材料结算,sc.material.settlement,ready,,,
DBS-042,劳务合同,劳务合同,sc.labor.request,ready,,,
DBS-043,劳务方单,劳务方单,sc.labor.usage,ready,,,
DBS-044,劳务结算,劳务结算,sc.labor.settlement,ready,,,
DBS-045,分包合同,分包合同,sc.subcontract.register,ready,,,
DBS-046,分包方单,分包方单,sc.subcontract.request,ready,,,
DBS-047,分包结算单,分包结算,sc.subcontract.settlement,ready,,,
DBS-048,机械合同,机械合同,sc.equipment.request,ready,,,
DBS-049,机械台班记录,机械台班,sc.equipment.usage,ready,,,
DBS-050,机械结算单,机械结算,sc.equipment.settlement,ready,,,
DBS-051,租赁合同,租赁合同,sc.material.rental.order,ready,,,
DBS-052,租赁结算单,租赁结算,sc.material.rental.settlement,ready,,,
DBS-053,租入,租赁入库/租入,sc.material.rental.order,ready,,,
DBS-054,施工日志（新）,施工,sc.construction.diary,ready,,,
