audit_mode,module,file,xmlid,view_name,model,inherit_id,arch_root,arch_kind,field_count,group_count,labelled_group_count,notebook_count,page_count,labelled_page_count,statusbar_count,header_button_count,button_box_count,stat_button_count,chatter_count,x2many_inline_count,data_anchor_count,source_trace_field_count,structural_score,classification,recommendation,gaps
runtime_default,runtime,odoo.registry,account.view_account_form,account.account.runtime.default.form,account.account,,form,full_form,14,3,0,1,1,1,0,0,1,2,1,0,20,0,14,needs_semantic_annotation,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_statusbar
runtime_view,runtime,odoo.registry,account.view_account_form,account.account.form,account.account,,form,full_form,14,3,0,1,1,1,0,0,1,2,1,0,20,0,14,needs_semantic_annotation,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_statusbar
runtime_default,runtime,odoo.registry,account.account_tag_view_form,account.account.tag.runtime.default.form,account.account.tag,,form,full_form,5,1,0,0,0,0,0,0,0,0,0,0,6,0,7,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
runtime_view,runtime,odoo.registry,account.account_tag_view_form,Tags,account.account.tag,,form,full_form,5,1,0,0,0,0,0,0,0,0,0,0,6,0,7,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
runtime_default,runtime,odoo.registry,account.view_account_accrued_orders_wizard,account.accrued.orders.wizard.runtime.default.form,account.accrued.orders.wizard,,form,full_form,8,3,0,0,0,0,0,0,0,0,0,0,9,0,5,needs_xml_structure,缺少 sheet/group，契约层难以稳定推断主信息区,missing_sheet;missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
runtime_view,runtime,odoo.registry,account.view_account_accrued_orders_wizard,account.accrued.orders.wizard.view,account.accrued.orders.wizard,,form,full_form,8,3,0,0,0,0,0,0,0,0,0,0,9,0,5,needs_xml_structure,缺少 sheet/group，契约层难以稳定推断主信息区,missing_sheet;missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
runtime_view,runtime,odoo.registry,account.account_analytic_account_view_form_inherit,account.analytic.account.form.inherit,account.analytic.account,analytic.view_account_analytic_account_form,form,full_form,13,3,0,0,0,0,0,0,1,5,1,0,23,0,9,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar
runtime_default,runtime,odoo.registry,analytic.view_account_analytic_account_form,account.analytic.account.runtime.default.form,account.analytic.account,,form,full_form,13,3,0,0,0,0,0,0,1,5,1,0,23,0,9,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar
runtime_view,runtime,odoo.registry,analytic.view_account_analytic_account_form,analytic.analytic.account.form,account.analytic.account,,form,full_form,13,3,0,0,0,0,0,0,1,5,1,0,23,0,9,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar
runtime_view,runtime,odoo.registry,project.account_analytic_account_view_form_inherit,account.analytic.account.form.inherit,account.analytic.account,analytic.view_account_analytic_account_form,form,full_form,13,3,0,0,0,0,0,0,1,5,1,0,23,0,9,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar
runtime_view,runtime,odoo.registry,purchase.account_analytic_account_view_form_purchase,account.analytic.account.form.purchase,account.analytic.account,analytic.view_account_analytic_account_form,form,full_form,13,3,0,0,0,0,0,0,1,5,1,0,23,0,9,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar
runtime_view,runtime,odoo.registry,account.account_analytic_distribution_model_form_inherit,account.analytic.distribution.model.inherit.form,account.analytic.distribution.model,analytic.account_analytic_distribution_model_form_view,form,full_form,7,5,2,0,0,0,0,0,0,0,0,0,8,0,8,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
runtime_default,runtime,odoo.registry,analytic.account_analytic_distribution_model_form_view,account.analytic.distribution.model.runtime.default.form,account.analytic.distribution.model,,form,full_form,7,5,2,0,0,0,0,0,0,0,0,0,8,0,8,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
