model,view_type,domain_group,status,parser_ok,fallback_ok,v2_ok,arch_field_count,parser_field_count,v2_field_count,control_field_count,ignored_control_fields,missing_parser_fields,extra_parser_fields,arch_group_count,parser_group_count,arch_notebook_count,parser_notebook_count,arch_page_count,parser_page_count,arch_header_button_count,parser_header_button_count,arch_stat_button_count,parser_stat_button_count,arch_modifier_field_count,parser_modifier_field_count,missing_modifier_fields,arch_x2many_field_count,parser_subview_count,missing_subviews,arch_chatter,parser_chatter,arch_attachment,parser_attachment,boundary_status,gaps
construction.contract,form,contract,ok,true,true,true,65,65,55,0,,,,6,6,1,1,2,2,5,5,0,0,30,78,,0,1,,false,false,false,false,parser_capability_ok,
construction.contract,tree,contract,ok,true,true,n/a,43,43,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,43,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
construction.contract.expense,form,contract,ok,true,true,true,49,49,43,0,,,,5,5,1,1,3,3,5,5,0,0,22,58,,0,1,,false,false,false,false,parser_capability_ok,
construction.contract.expense,tree,contract,ok,true,true,n/a,16,16,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,16,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
construction.contract.income,form,contract,ok,true,true,true,58,58,42,0,,,,5,5,1,1,3,3,5,5,0,0,24,67,,0,1,,false,false,false,false,parser_capability_ok,
construction.contract.income,tree,contract,ok,true,true,n/a,26,26,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,26,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
construction.work.breakdown,form,contract,ok,true,true,true,15,15,12,0,,,,4,4,1,1,3,3,0,0,0,0,10,23,,0,3,,false,false,false,false,parser_capability_ok,
construction.work.breakdown,tree,contract,ok,true,true,n/a,12,13,0,0,,,company_id,0,0,0,0,0,0,0,1,0,0,0,13,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.equipment.plan,form,equipment,ok,true,true,true,16,16,11,0,,,,5,5,1,1,3,3,4,4,0,0,2,22,,0,1,,false,false,false,false,parser_capability_ok,
sc.equipment.plan,tree,equipment,ok,true,true,n/a,14,14,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,14,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.equipment.price,form,equipment,ok,true,true,true,18,18,12,0,,,,5,5,1,1,2,2,3,3,0,0,3,18,,0,0,,false,false,false,false,parser_capability_ok,
sc.equipment.price,tree,equipment,ok,true,true,n/a,16,16,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,16,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.equipment.request,form,equipment,ok,true,true,true,16,16,11,0,,,,6,6,1,1,3,3,4,4,0,0,2,22,,0,1,,false,false,false,false,parser_capability_ok,
sc.equipment.request,tree,equipment,ok,true,true,n/a,35,35,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,35,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
